City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,4.44,89,89,2.68,CL,1684037174
1,lorengau,-2.0226,147.2712,30.27,65,13,2.43,PG,1684037175
2,avarua,-21.2078,-159.775,23.03,94,75,2.06,CK,1684037176
3,wailua homesteads,22.0669,-159.378,24.24,86,100,5.14,US,1684037176
4,adamstown,-25.066,-130.1015,23.22,72,100,8.94,PN,1684037177
5,punta arenas,-53.15,-70.9167,3.95,93,20,3.6,CL,1684037178
6,qaqortoq,60.7167,-46.0333,0.56,85,100,0.13,GL,1684037179
7,port-aux-francais,-49.35,70.2167,3.0,61,33,4.15,TF,1684037179
8,mednogorsk,51.4128,57.595,10.64,73,4,1.97,RU,1684037180
9,uturoa,-16.7333,-151.4333,27.47,73,7,2.5,PF,1684037181
10,al muwayh,22.4333,41.7583,27.52,19,4,1.79,SA,1684037181
11,blackmans bay,-43.0167,147.3167,15.07,57,78,1.98,AU,1684037182
12,ust-nera,64.5667,143.2,1.32,64,95,1.98,RU,1684037183
13,mahdia,35.5047,11.0622,18.97,86,100,10.69,TN,1684037184
14,maracaibo,10.6317,-71.6406,27.16,84,90,2.77,VE,1684037185
15,tillaberi,14.2117,1.4531,31.97,32,23,2.65,NE,1684037185
16,fortuna,40.5982,-124.1573,13.85,91,12,0.9,US,1684037186
17,iqaluit,63.7506,-68.5145,-5.15,80,75,1.03,CA,1684037137
18,chaohu,31.6,117.8667,29.99,40,11,4.39,CN,1684037188
19,withernsea,53.7311,0.0335,9.14,92,85,1.41,GB,1684037188
20,lebu,-37.6167,-73.65,11.61,91,100,3.65,CL,1684037189
21,puerto ayora,-0.7393,-90.3518,26.97,95,99,4.02,EC,1684037190
22,carnarvon,-24.8667,113.6333,22.32,39,30,5.98,AU,1684037190
23,kodiak,57.79,-152.4072,5.73,87,100,4.12,US,1684037191
24,sabang,5.8933,95.3214,29.6,70,80,4.76,ID,1684037192
25,utrik,11.2278,169.8474,27.62,80,7,6.96,MH,1684037192
26,waitangi,-43.9535,-176.5597,12.12,81,43,3.75,NZ,1684037193
27,abu,24.6,72.7,28.35,32,0,5.13,IN,1684037194
28,grand falls-windsor,48.9332,-55.6649,7.5,91,100,0.45,CA,1684037076
29,khanty-mansiysk,61.0042,69.0019,5.06,81,75,5.0,RU,1684036923
30,salekhard,66.53,66.6019,-3.92,82,99,3.0,RU,1684037196
